"specimen_collection_date","gender","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-03-07,"Male",3,6,2020-10-08 14:15:02
2020-03-08,"Male",1,7,2020-10-08 14:15:02
2020-03-09,"Male",0,7,2020-10-08 14:15:02
2020-03-10,"Male",4,11,2020-10-08 14:15:02
2020-03-11,"Male",5,16,2020-10-08 14:15:02
2020-03-12,"Male",2,18,2020-10-08 14:15:02
2020-03-13,"Male",10,28,2020-10-08 14:15:02
2020-03-14,"Male",7,35,2020-10-08 14:15:02
2020-03-15,"Male",7,42,2020-10-08 14:15:02
2020-03-16,"Male",27,69,2020-10-08 14:15:02
2020-03-17,"Male",18,87,2020-10-08 14:15:02
2020-03-18,"Male",9,96,2020-10-08 14:15:02
2020-03-19,"Male",13,109,2020-10-08 14:15:02
2020-03-20,"Male",22,131,2020-10-08 14:15:02
2020-03-21,"Male",9,140,2020-10-08 14:15:02
2020-03-22,"Male",14,154,2020-10-08 14:15:02
2020-03-23,"Male",16,170,2020-10-08 14:15:02
2020-03-24,"Male",25,195,2020-10-08 14:15:02
2020-03-25,"Male",29,224,2020-10-08 14:15:02
2020-03-26,"Male",20,244,2020-10-08 14:15:02
2020-03-27,"Male",15,259,2020-10-08 14:15:02
2020-03-28,"Male",7,266,2020-10-08 14:15:02
2020-03-29,"Male",6,272,2020-10-08 14:15:02
2020-03-30,"Male",25,297,2020-10-08 14:15:02
2020-03-31,"Male",32,329,2020-10-08 14:15:02
2020-04-01,"Male",14,343,2020-10-08 14:15:02
2020-04-02,"Male",18,361,2020-10-08 14:15:02
2020-04-03,"Male",19,380,2020-10-08 14:15:02
2020-04-04,"Male",6,386,2020-10-08 14:15:02
2020-04-05,"Male",22,408,2020-10-08 14:15:02
2020-04-06,"Male",33,441,2020-10-08 14:15:02
2020-04-07,"Male",34,475,2020-10-08 14:15:02
2020-04-08,"Male",48,523,2020-10-08 14:15:02
2020-04-09,"Male",61,584,2020-10-08 14:15:02
2020-04-10,"Male",12,596,2020-10-08 14:15:02
2020-04-11,"Male",17,613,2020-10-08 14:15:02
2020-04-12,"Male",13,626,2020-10-08 14:15:02
2020-04-13,"Male",15,641,2020-10-08 14:15:02
2020-04-14,"Male",21,662,2020-10-08 14:15:02
2020-04-15,"Male",23,685,2020-10-08 14:15:02
2020-04-16,"Male",18,703,2020-10-08 14:15:02
2020-04-17,"Male",28,731,2020-10-08 14:15:02
2020-04-18,"Male",9,740,2020-10-08 14:15:02
2020-04-19,"Male",23,763,2020-10-08 14:15:02
2020-04-20,"Male",23,786,2020-10-08 14:15:02
2020-04-21,"Male",11,797,2020-10-08 14:15:02
2020-04-22,"Male",19,816,2020-10-08 14:15:02
2020-04-23,"Male",24,840,2020-10-08 14:15:02
2020-04-24,"Male",22,862,2020-10-08 14:15:02
2020-04-25,"Male",43,905,2020-10-08 14:15:02
2020-04-26,"Male",18,923,2020-10-08 14:15:02
2020-04-27,"Male",26,949,2020-10-08 14:15:02
2020-04-28,"Male",40,989,2020-10-08 14:15:02
2020-04-29,"Male",30,1019,2020-10-08 14:15:02
2020-04-30,"Male",17,1036,2020-10-08 14:15:02
2020-05-01,"Male",21,1057,2020-10-08 14:15:02
2020-05-02,"Male",34,1091,2020-10-08 14:15:02
2020-05-03,"Male",9,1100,2020-10-08 14:15:02
2020-05-04,"Male",29,1129,2020-10-08 14:15:02
2020-05-05,"Male",29,1158,2020-10-08 14:15:02
2020-05-06,"Male",31,1189,2020-10-08 14:15:02
2020-05-07,"Male",17,1206,2020-10-08 14:15:02
2020-05-08,"Male",17,1223,2020-10-08 14:15:02
2020-05-09,"Male",5,1228,2020-10-08 14:15:02
