"overall_segment","administering_provider_type","age_group","demographic_group","demographic_subgroup","demographic_subgroup_sort_order","total_1st_doses","total_2nd_doses","total_single_doses","total_recipients","total_series_completed","subgroup_population","age_group_population","data_as_of","data_loaded_at"
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","12-17",2,26369,18085,10,26378,18095,33938,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","18-24",3,40620,33910,3001,43646,36911,62127,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","25-34",4,129010,111531,11197,140329,122728,204639,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","35-44",5,105893,93002,8525,114455,101527,138390,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","45-54",6,86719,76653,8912,95645,85565,115527,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","55-64",7,79397,70677,9268,88673,79945,101483,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","65-74",8,69079,61330,2640,71736,63970,74120,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by All Providers","All Providers","12+","Age Bracket","75+",9,48158,43233,1810,49979,45043,60907,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","12-17",2,3458,2278,0,3488,2278,33938,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","18-24",3,7375,6470,167,7617,6637,62127,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","25-34",4,18521,16729,426,19121,17155,204639,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","35-44",5,18309,16402,570,19011,16972,138390,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","45-54",6,18091,16031,727,18980,16758,115527,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","55-64",7,19309,17032,871,20369,17903,101483,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","65-74",8,14325,12330,321,14759,12651,74120,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Age Bracket, Administered by DPH Only","DPH Only","12+","Age Bracket","75+",9,5951,5189,235,6276,5424,60907,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","American Indian or Alaska Native",1,1197,954,113,1310,1067,1319,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Asian",2,207602,181320,14885,222539,196205,275992,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Black or African American",3,21992,18513,2383,24373,20896,39432,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Hispanic or Latino/a, all races",4,83892,70040,5914,89824,75954,113734,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Multi-Racial",7,9439,8545,489,9933,9034,27478,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,2437,2067,158,2597,2225,2309,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Other Race",8,29382,24974,2216,31612,27190,3373,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","Unknown",9,21225,17249,1948,23219,19197,0,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by All Providers","All Providers","12+","Race/Ethnicity","White",6,208079,184759,17257,225434,202016,327494,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","American Indian or Alaska Native",1,183,157,13,198,170,1319,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Asian",2,38482,34163,670,39517,34833,275992,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Black or African American",3,7988,6701,776,8852,7477,39432,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Hispanic or Latino/a, all races",4,29872,25504,635,30714,26139,113734,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Multi-Racial",7,1603,1436,84,1725,1520,27478,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",5,502,416,25,536,441,2309,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Other Race",8,3761,3249,101,3880,3350,3373,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","Unknown",9,1023,725,168,1201,893,0,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 12+ by Race/Ethnicity, Administered by DPH Only","DPH Only","12+","Race/Ethnicity","White",6,21925,20110,845,22998,20955,327494,791131,2021-06-13 06:00:12,2021-06-13 09:30:09
"Ages 65+ by Age Bracket, Administered by All Providers","All Providers","65+","Age Bracket","65-74",8,69079,61330,2640,71736,63970,74120,135027,2021-06-13 06:00:12,2021-06-13 09:30:09
