"specimen_collection_date","age_group","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-03-12,"51-60",2,6,2020-09-17 14:19:56
2020-03-13,"51-60",2,8,2020-09-17 14:19:56
2020-03-14,"51-60",1,9,2020-09-17 14:19:56
2020-03-15,"51-60",0,9,2020-09-17 14:19:56
2020-03-16,"51-60",8,17,2020-09-17 14:19:56
2020-03-17,"51-60",3,20,2020-09-17 14:19:56
2020-03-18,"51-60",4,24,2020-09-17 14:19:56
2020-03-19,"51-60",3,27,2020-09-17 14:19:56
2020-03-20,"51-60",4,31,2020-09-17 14:19:56
2020-03-21,"51-60",7,38,2020-09-17 14:19:56
2020-03-22,"51-60",5,43,2020-09-17 14:19:56
2020-03-23,"51-60",7,50,2020-09-17 14:19:56
2020-03-24,"51-60",6,56,2020-09-17 14:19:56
2020-03-25,"51-60",5,61,2020-09-17 14:19:56
2020-03-26,"51-60",9,70,2020-09-17 14:19:56
2020-03-27,"51-60",4,74,2020-09-17 14:19:56
2020-03-28,"51-60",6,80,2020-09-17 14:19:56
2020-03-29,"51-60",0,80,2020-09-17 14:19:56
2020-03-30,"51-60",6,86,2020-09-17 14:19:56
2020-03-31,"51-60",9,95,2020-09-17 14:19:56
2020-04-01,"51-60",5,100,2020-09-17 14:19:56
2020-04-02,"51-60",3,103,2020-09-17 14:19:56
2020-04-03,"51-60",5,108,2020-09-17 14:19:56
2020-04-04,"51-60",2,110,2020-09-17 14:19:56
2020-04-05,"51-60",4,114,2020-09-17 14:19:56
2020-04-06,"51-60",6,120,2020-09-17 14:19:56
2020-04-07,"51-60",5,125,2020-09-17 14:19:56
2020-04-08,"51-60",14,139,2020-09-17 14:19:56
2020-04-09,"51-60",16,155,2020-09-17 14:19:56
2020-04-10,"51-60",7,162,2020-09-17 14:19:56
2020-04-11,"51-60",3,165,2020-09-17 14:19:56
2020-04-12,"51-60",5,170,2020-09-17 14:19:56
2020-04-13,"51-60",3,173,2020-09-17 14:19:56
2020-04-14,"51-60",9,182,2020-09-17 14:19:56
2020-04-15,"51-60",3,185,2020-09-17 14:19:56
2020-04-16,"51-60",5,190,2020-09-17 14:19:56
2020-04-17,"51-60",6,196,2020-09-17 14:19:56
2020-04-18,"51-60",1,197,2020-09-17 14:19:56
2020-04-19,"51-60",9,206,2020-09-17 14:19:56
2020-04-20,"51-60",9,215,2020-09-17 14:19:56
2020-04-21,"51-60",5,220,2020-09-17 14:19:56
2020-04-22,"51-60",4,224,2020-09-17 14:19:56
2020-04-23,"51-60",5,229,2020-09-17 14:19:56
2020-04-24,"51-60",7,236,2020-09-17 14:19:56
2020-04-25,"51-60",5,241,2020-09-17 14:19:56
2020-04-26,"51-60",5,246,2020-09-17 14:19:56
2020-04-27,"51-60",3,249,2020-09-17 14:19:56
2020-04-28,"51-60",9,258,2020-09-17 14:19:56
2020-04-29,"51-60",6,264,2020-09-17 14:19:56
2020-04-30,"51-60",4,268,2020-09-17 14:19:56
2020-05-01,"51-60",5,273,2020-09-17 14:19:56
2020-05-02,"51-60",2,275,2020-09-17 14:19:56
2020-05-03,"51-60",3,278,2020-09-17 14:19:56
2020-05-04,"51-60",0,278,2020-09-17 14:19:56
2020-05-05,"51-60",6,284,2020-09-17 14:19:56
2020-05-06,"51-60",8,292,2020-09-17 14:19:56
2020-05-07,"51-60",5,297,2020-09-17 14:19:56
2020-05-08,"51-60",1,298,2020-09-17 14:19:56
2020-05-09,"51-60",1,299,2020-09-17 14:19:56
2020-05-10,"51-60",0,299,2020-09-17 14:19:56
2020-05-11,"51-60",7,306,2020-09-17 14:19:56
2020-05-12,"51-60",9,315,2020-09-17 14:19:56
